datetime,conditions,quarter
10/7/2000,Partially cloudy,3
11/7/2000,Partially cloudy,3
12/7/2000,Partially cloudy,3
13/7/2000,Clear,3
14/7/2000,Partially cloudy,3
15/7/2000,Partially cloudy,3
16/7/2000,Partially cloudy,3
17/7/2000,Clear,3
18/7/2000,Clear,3
19/7/2000,Clear,3
20/7/2000,Clear,3
21/7/2000,Partially cloudy,3
22/7/2000,Partially cloudy,3
23/7/2000,Partially cloudy,3
24/7/2000,Partially cloudy,3
25/7/2000,Clear,3
26/7/2000,Clear,3
27/7/2000,Partially cloudy,3
28/7/2000,Partially cloudy,3
29/7/2000,Partially cloudy,3
30/7/2000,Partially cloudy,3
31/7/2000,Partially cloudy,3
1/8/2000,Partially cloudy,3
2/8/2000,Partially cloudy,3
3/8/2000,Clear,3
4/8/2000,Clear,3
5/8/2000,Clear,3
6/8/2000,Partially cloudy,3
7/8/2000,Partially cloudy,3
8/8/2000,Partially cloudy,3
9/8/2000,Partially cloudy,3
10/8/2000,Clear,3
11/8/2000,Clear,3
12/8/2000,Clear,3
13/8/2000,Clear,3
14/8/2000,Clear,3
15/8/2000,Clear,3
16/8/2000,Clear,3
17/8/2000,Clear,3
18/8/2000,Clear,3
19/8/2000,Clear,3
20/8/2000,Clear,3
21/8/2000,Clear,3
22/8/2000,Partially cloudy,3
23/8/2000,Partially cloudy,3
24/8/2000,Partially cloudy,3
25/8/2000,Partially cloudy,3
26/8/2000,Clear,3
27/8/2000,Partially cloudy,3
28/8/2000,Partially cloudy,3
29/8/2000,"Rain, Partially cloudy",3
30/8/2000,Partially cloudy,3
31/8/2000,Partially cloudy,3
1/9/2000,Partially cloudy,3
2/9/2000,Clear,3
3/9/2000,Clear,3
4/9/2000,Clear,3
5/9/2000,Clear,3
6/9/2000,Clear,3
7/9/2000,Partially cloudy,3
8/9/2000,Partially cloudy,3
9/9/2000,Partially cloudy,3
10/9/2000,Clear,3
11/9/2000,Clear,3
12/9/2000,Partially cloudy,3
13/9/2000,Partially cloudy,3
14/9/2000,Partially cloudy,3
15/9/2000,Clear,3
16/9/2000,Clear,3
17/9/2000,Clear,3
18/9/2000,Partially cloudy,3
19/9/2000,Partially cloudy,3
20/9/2000,Partially cloudy,3
21/9/2000,Partially cloudy,3
22/9/2000,"Rain, Partially cloudy",3
23/9/2000,Partially cloudy,3
24/9/2000,Clear,3
25/9/2000,Clear,3
26/9/2000,Clear,3
27/9/2000,Partially cloudy,3
28/9/2000,Partially cloudy,3
29/9/2000,Clear,3
30/9/2000,Partially cloudy,3
1/10/2000,Partially cloudy,4
2/10/2000,Partially cloudy,4
3/10/2000,Partially cloudy,4
4/10/2000,"Rain, Partially cloudy",4
5/10/2000,Partially cloudy,4
6/10/2000,"Rain, Partially cloudy",4
7/10/2000,Partially cloudy,4
8/10/2000,Partially cloudy,4
9/10/2000,Partially cloudy,4
10/10/2000,"Rain, Partially cloudy",4
11/10/2000,"Rain, Partially cloudy",4
12/10/2000,Partially cloudy,4
13/10/2000,Clear,4
14/10/2000,Clear,4
15/10/2000,Partially cloudy,4
16/10/2000,Clear,4
17/10/2000,Partially cloudy,4
